scenario,dest,year,sex,edu,pop
benchmark,BGR,2050,f,2,45438
benchmark,BGR,2050,f,3,91909
benchmark,BGR,2050,f,4,285108
benchmark,BGR,2050,f,5,1140794
benchmark,BGR,2050,f,6,1085927
benchmark,BGR,2050,m,1,18424
benchmark,BGR,2050,m,2,37373
benchmark,BGR,2050,m,3,76471
benchmark,BGR,2050,m,4,287638
benchmark,BGR,2050,m,5,1337239
benchmark,BGR,2050,m,6,775204
benchmark,CYP,2015,f,1,67534
benchmark,CYP,2015,f,2,24151
benchmark,CYP,2015,f,3,59053
benchmark,CYP,2015,f,4,49521
benchmark,CYP,2015,f,5,108667
benchmark,CYP,2015,f,6,118470
benchmark,CYP,2015,m,1,71398
benchmark,CYP,2015,m,2,10035
benchmark,CYP,2015,m,3,49002
benchmark,CYP,2015,m,4,47544
benchmark,CYP,2015,m,5,126162
benchmark,CYP,2015,m,6,99038
benchmark,CYP,2020,f,1,52586
benchmark,CYP,2020,f,2,20843
benchmark,CYP,2020,f,3,56183
benchmark,CYP,2020,f,4,54518
benchmark,CYP,2020,f,5,124698
benchmark,CYP,2020,f,6,145082
benchmark,CYP,2020,m,1,54240
benchmark,CYP,2020,m,2,9700
benchmark,CYP,2020,m,3,43766
benchmark,CYP,2020,m,4,52093
benchmark,CYP,2020,m,5,138789
benchmark,CYP,2020,m,6,129453
benchmark,CYP,2025,f,1,32493
benchmark,CYP,2025,f,2,17991
benchmark,CYP,2025,f,3,52407
benchmark,CYP,2025,f,4,54215
benchmark,CYP,2025,f,5,141828
benchmark,CYP,2025,f,6,174562
benchmark,CYP,2025,m,1,32530
benchmark,CYP,2025,m,2,9619
benchmark,CYP,2025,m,3,40607
benchmark,CYP,2025,m,4,51804
benchmark,CYP,2025,m,5,160540
benchmark,CYP,2025,m,6,152232
benchmark,CYP,2030,f,1,8678
benchmark,CYP,2030,f,2,15584
benchmark,CYP,2030,f,3,48125
benchmark,CYP,2030,f,4,57169
benchmark,CYP,2030,f,5,157521
benchmark,CYP,2030,f,6,203780
benchmark,CYP,2030,m,1,7974
benchmark,CYP,2030,m,2,9782
benchmark,CYP,2030,m,3,37262
benchmark,CYP,2030,m,4,54737
benchmark,CYP,2030,m,5,178171
benchmark,CYP,2030,m,6,177234
benchmark,CYP,2035,f,1,9021
benchmark,CYP,2035,f,2,13874
benchmark,CYP,2035,f,3,42805
benchmark,CYP,2035,f,4,55576
benchmark,CYP,2035,f,5,163866
benchmark,CYP,2035,f,6,222228
benchmark,CYP,2035,m,1,8258
benchmark,CYP,2035,m,2,10208
benchmark,CYP,2035,m,3,33693
benchmark,CYP,2035,m,4,53697
benchmark,CYP,2035,m,5,187181
benchmark,CYP,2035,m,6,189806
benchmark,CYP,2040,f,1,10464
benchmark,CYP,2040,f,2,12919
benchmark,CYP,2040,f,3,37437
benchmark,CYP,2040,f,4,53522
benchmark,CYP,2040,f,5,167590
benchmark,CYP,2040,f,6,242499
benchmark,CYP,2040,m,1,9446
benchmark,CYP,2040,m,2,10846
benchmark,CYP,2040,m,3,30695
benchmark,CYP,2040,m,4,52231
benchmark,CYP,2040,m,5,194218
benchmark,CYP,2040,m,6,204403
benchmark,CYP,2045,f,1,11662
benchmark,CYP,2045,f,2,12989
benchmark,CYP,2045,f,3,32792
benchmark,CYP,2045,f,4,51326
benchmark,CYP,2045,f,5,170066
benchmark,CYP,2045,f,6,264466
benchmark,CYP,2045,m,1,10371
benchmark,CYP,2045,m,2,11953
benchmark,CYP,2045,m,3,28687
benchmark,CYP,2045,m,4,50918
benchmark,CYP,2045,m,5,200298
benchmark,CYP,2045,m,6,221348
benchmark,CYP,2050,f,1,12815
benchmark,CYP,2050,f,2,13557
benchmark,CYP,2050,f,3,29012
benchmark,CYP,2050,f,4,49783
benchmark,CYP,2050,f,5,171799
benchmark,CYP,2050,f,6,286989
benchmark,CYP,2050,m,1,11284
benchmark,CYP,2050,m,2,13146
benchmark,CYP,2050,m,3,27518
benchmark,CYP,2050,m,4,50370
benchmark,CYP,2050,m,5,205911
benchmark,CYP,2050,m,6,239786
benchmark,CZE,2015,f,1,779748
benchmark,CZE,2015,f,2,21291
benchmark,CZE,2015,f,3,22575
benchmark,CZE,2015,f,4,959052
benchmark,CZE,2015,f,5,2649439
benchmark,CZE,2015,f,6,796309
benchmark,CZE,2015,m,1,821656
benchmark,CZE,2015,m,2,21067
benchmark,CZE,2015,m,3,26047
benchmark,CZE,2015,m,4,544101
benchmark,CZE,2015,m,5,2858878
benchmark,CZE,2015,m,6,763089
benchmark,CZE,2020,f,1,560183
benchmark,CZE,2020,f,2,21351
benchmark,CZE,2020,f,3,28723
benchmark,CZE,2020,f,4,843750
benchmark,CZE,2020,f,5,2819199
benchmark,CZE,2020,f,6,959151
benchmark,CZE,2020,m,1,592096
benchmark,CZE,2020,m,2,19543
benchmark,CZE,2020,m,3,29685
benchmark,CZE,2020,m,4,502947
benchmark,CZE,2020,m,5,3003367
benchmark,CZE,2020,m,6,887158
benchmark,CZE,2025,f,1,282385
benchmark,CZE,2025,f,2,22246
benchmark,CZE,2025,f,3,32767
benchmark,CZE,2025,f,4,841510
benchmark,CZE,2025,f,5,2930386
benchmark,CZE,2025,f,6,1091988
benchmark,CZE,2025,m,1,300327
benchmark,CZE,2025,m,2,20289
benchmark,CZE,2025,m,3,33590
benchmark,CZE,2025,m,4,564921
benchmark,CZE,2025,m,5,3085813
benchmark,CZE,2025,m,6,987113
benchmark,CZE,2030,f,1,12079
benchmark,CZE,2030,f,2,22209
benchmark,CZE,2030,f,3,33651
benchmark,CZE,2030,f,4,762627
benchmark,CZE,2030,f,5,3053187
benchmark,CZE,2030,f,6,1254880
benchmark,CZE,2030,m,1,13975
benchmark,CZE,2030,m,2,20389
benchmark,CZE,2030,m,3,34181
benchmark,CZE,2030,m,4,545840
benchmark,CZE,2030,m,5,3199936
benchmark,CZE,2030,m,6,1104161
benchmark,CZE,2035,f,1,10877
benchmark,CZE,2035,f,2,21097
benchmark,CZE,2035,f,3,31790
benchmark,CZE,2035,f,4,653316
benchmark,CZE,2035,f,5,2979514
benchmark,CZE,2035,f,6,1358265
benchmark,CZE,2035,m,1,12182
benchmark,CZE,2035,m,2,19542
benchmark,CZE,2035,m,3,32585
benchmark,CZE,2035,m,4,488112
benchmark,CZE,2035,m,5,3124209
benchmark,CZE,2035,m,6,1154877
benchmark,CZE,2040,f,1,12000
benchmark,CZE,2040,f,2,20247
benchmark,CZE,2040,f,3,29730
benchmark,CZE,2040,f,4,554097
benchmark,CZE,2040,f,5,2889856
benchmark,CZE,2040,f,6,1464627
benchmark,CZE,2040,m,1,13311
benchmark,CZE,2040,m,2,19257
benchmark,CZE,2040,m,3,31556
benchmark,CZE,2040,m,4,432827
benchmark,CZE,2040,m,5,3044908
benchmark,CZE,2040,m,6,1212399
benchmark,CZE,2045,f,1,13089
benchmark,CZE,2045,f,2,19800
benchmark,CZE,2045,f,3,28542
benchmark,CZE,2045,f,4,467823
benchmark,CZE,2045,f,5,2789303
benchmark,CZE,2045,f,6,1574976
benchmark,CZE,2045,m,1,14335
benchmark,CZE,2045,m,2,19589
benchmark,CZE,2045,m,3,31681
benchmark,CZE,2045,m,4,384939
benchmark,CZE,2045,m,5,2961428
benchmark,CZE,2045,m,6,1280525
benchmark,CZE,2050,f,1,14368
benchmark,CZE,2050,f,2,19478
benchmark,CZE,2050,f,3,28062
benchmark,CZE,2050,f,4,407133
benchmark,CZE,2050,f,5,2672333
