scenario,dest,year,nativity,pop
benchmark,GRC,2040,non-eu,1175500
benchmark,GRC,2045,eu,258784
benchmark,GRC,2045,native,8399002
benchmark,GRC,2045,non-eu,1241031
benchmark,GRC,2050,eu,240193
benchmark,GRC,2050,native,8230647
benchmark,GRC,2050,non-eu,1313361
benchmark,HRV,2015,eu,65236
benchmark,HRV,2015,native,3657504
benchmark,HRV,2015,non-eu,455530
benchmark,HRV,2020,eu,65104
benchmark,HRV,2020,native,3547219
benchmark,HRV,2020,non-eu,473865
benchmark,HRV,2025,eu,63809
benchmark,HRV,2025,native,3431055
benchmark,HRV,2025,non-eu,472856
benchmark,HRV,2030,eu,62023
benchmark,HRV,2030,native,3325983
benchmark,HRV,2030,non-eu,471189
benchmark,HRV,2035,eu,59948
benchmark,HRV,2035,native,3223911
benchmark,HRV,2035,non-eu,468378
benchmark,HRV,2040,eu,57368
benchmark,HRV,2040,native,3123077
benchmark,HRV,2040,non-eu,465743
benchmark,HRV,2045,eu,54667
benchmark,HRV,2045,native,3024660
benchmark,HRV,2045,non-eu,465583
benchmark,HRV,2050,eu,51661
benchmark,HRV,2050,native,2930319
benchmark,HRV,2050,non-eu,469202
benchmark,HUN,2015,eu,290574
benchmark,HUN,2015,native,9379499
benchmark,HUN,2015,non-eu,146222
benchmark,HUN,2020,eu,281513
benchmark,HUN,2020,native,9124510
benchmark,HUN,2020,non-eu,184549
benchmark,HUN,2025,eu,270381
benchmark,HUN,2025,native,8842572
benchmark,HUN,2025,non-eu,211540
benchmark,HUN,2030,eu,256475
benchmark,HUN,2030,native,8558331
benchmark,HUN,2030,non-eu,239217
benchmark,HUN,2035,eu,241463
benchmark,HUN,2035,native,8267066
benchmark,HUN,2035,non-eu,267445
benchmark,HUN,2040,eu,225820
benchmark,HUN,2040,native,7973938
benchmark,HUN,2040,non-eu,296374
benchmark,HUN,2045,eu,209669
benchmark,HUN,2045,native,7684110
benchmark,HUN,2045,non-eu,327330
benchmark,HUN,2050,eu,192983
benchmark,HUN,2050,native,7402842
benchmark,HUN,2050,non-eu,361719
benchmark,IRL,2015,eu,519360
benchmark,IRL,2015,native,3767272
benchmark,IRL,2015,non-eu,204430
benchmark,IRL,2020,eu,538335
benchmark,IRL,2020,native,3979437
benchmark,IRL,2020,non-eu,276959
benchmark,IRL,2025,eu,553281
benchmark,IRL,2025,native,4166059
benchmark,IRL,2025,non-eu,359295
benchmark,IRL,2030,eu,559537
benchmark,IRL,2030,native,4333685
benchmark,IRL,2030,non-eu,465473
benchmark,IRL,2035,eu,556383
benchmark,IRL,2035,native,4494712
benchmark,IRL,2035,non-eu,595573
benchmark,IRL,2040,eu,543629
benchmark,IRL,2040,native,4663884
benchmark,IRL,2040,non-eu,751199
benchmark,IRL,2045,eu,522762
benchmark,IRL,2045,native,4845299
benchmark,IRL,2045,non-eu,935065
benchmark,IRL,2050,eu,495809
benchmark,IRL,2050,native,5037957
benchmark,IRL,2050,non-eu,1150374
benchmark,ITA,2015,eu,1731488
benchmark,ITA,2015,native,54990287
benchmark,ITA,2015,non-eu,3768341
benchmark,ITA,2020,eu,1773015
benchmark,ITA,2020,native,54249807
benchmark,ITA,2020,non-eu,4306277
benchmark,ITA,2025,eu,1778549
benchmark,ITA,2025,native,53260381
benchmark,ITA,2025,non-eu,4887928
benchmark,ITA,2030,eu,1749333
benchmark,ITA,2030,native,52176953
benchmark,ITA,2030,non-eu,5498277
benchmark,ITA,2035,eu,1696770
benchmark,ITA,2035,native,51111964
benchmark,ITA,2035,non-eu,6111567
benchmark,ITA,2040,eu,1628954
benchmark,ITA,2040,native,50096649
benchmark,ITA,2040,non-eu,6730510
benchmark,ITA,2045,eu,1545693
benchmark,ITA,2045,native,49111780
benchmark,ITA,2045,non-eu,7358817
benchmark,ITA,2050,eu,1449209
benchmark,ITA,2050,native,48108579
benchmark,ITA,2050,non-eu,8001145
benchmark,LTU,2015,eu,18609
benchmark,LTU,2015,native,2785037
benchmark,LTU,2015,non-eu,113119
benchmark,LTU,2020,eu,21551
benchmark,LTU,2020,native,2701890
benchmark,LTU,2020,non-eu,137680
benchmark,LTU,2025,eu,23076
benchmark,LTU,2025,native,2632139
benchmark,LTU,2025,non-eu,148545
benchmark,LTU,2030,eu,23947
benchmark,LTU,2030,native,2563061
benchmark,LTU,2030,non-eu,162242
benchmark,LTU,2035,eu,24873
benchmark,LTU,2035,native,2493205
benchmark,LTU,2035,non-eu,178420
benchmark,LTU,2040,eu,25384
benchmark,LTU,2040,native,2427907
benchmark,LTU,2040,non-eu,196867
benchmark,LTU,2045,eu,25931
benchmark,LTU,2045,native,2369999
benchmark,LTU,2045,non-eu,218932
benchmark,LTU,2050,eu,25967
benchmark,LTU,2050,native,2317497
benchmark,LTU,2050,non-eu,244859
benchmark,LUX,2015,eu,185750
benchmark,LUX,2015,native,278791
benchmark,LUX,2015,non-eu,44075
benchmark,LUX,2020,eu,193885
benchmark,LUX,2020,native,302684
benchmark,LUX,2020,non-eu,79994
benchmark,LUX,2025,eu,198732
benchmark,LUX,2025,native,326201
benchmark,LUX,2025,non-eu,110182
benchmark,LUX,2030,eu,199649
benchmark,LUX,2030,native,350458
benchmark,LUX,2030,non-eu,148023
benchmark,LUX,2035,eu,197643
benchmark,LUX,2035,native,376941
benchmark,LUX,2035,non-eu,194344
benchmark,LUX,2040,eu,193058
benchmark,LUX,2040,native,406875
benchmark,LUX,2040,non-eu,250850
benchmark,LUX,2045,eu,186241
benchmark,LUX,2045,native,440923
benchmark,LUX,2045,non-eu,319658
benchmark,LUX,2050,eu,177424
benchmark,LUX,2050,native,479481
benchmark,LUX,2050,non-eu,401968
benchmark,LVA,2015,eu,27310
benchmark,LVA,2015,native,1720680
benchmark,LVA,2015,non-eu,230241
benchmark,LVA,2020,eu,27991
benchmark,LVA,2020,native,1676992
benchmark,LVA,2020,non-eu,239649
benchmark,LVA,2025,eu,27496
benchmark,LVA,2025,native,1638078
benchmark,LVA,2025,non-eu,239197
benchmark,LVA,2030,eu,26705
benchmark,LVA,2030,native,1599010
benchmark,LVA,2030,non-eu,244144
benchmark,LVA,2035,eu,26357
benchmark,LVA,2035,native,1561941
benchmark,LVA,2035,non-eu,252969
benchmark,LVA,2040,eu,25935
benchmark,LVA,2040,native,1528773
benchmark,LVA,2040,non-eu,264191
benchmark,LVA,2045,eu,25811
benchmark,LVA,2045,native,1498454
benchmark,LVA,2045,non-eu,278746
benchmark,LVA,2050,eu,25525
benchmark,LVA,2050,native,1468161
benchmark,LVA,2050,non-eu,297181
benchmark,MLT,2015,eu,25143
benchmark,MLT,2015,native,387064
benchmark,MLT,2015,non-eu,23205
benchmark,MLT,2020,eu,27961
benchmark,MLT,2020,native,383172
benchmark,MLT,2020,non-eu,53992
benchmark,MLT,2025,eu,29746
benchmark,MLT,2025,native,382229
benchmark,MLT,2025,non-eu,73395
benchmark,MLT,2030,eu,30925
benchmark,MLT,2030,native,379263
benchmark,MLT,2030,non-eu,96980
benchmark,MLT,2035,eu,31875
benchmark,MLT,2035,native,374511
benchmark,MLT,2035,non-eu,125270
