scenario,dest,year,age,nativity,pop
benchmark,BEL,2015,35,eu,63299
benchmark,BEL,2015,35,native,550375
benchmark,BEL,2015,35,non-eu,95645
benchmark,BEL,2015,40,eu,63672
benchmark,BEL,2015,40,native,586080
benchmark,BEL,2015,40,non-eu,93213
benchmark,BEL,2015,45,eu,63746
benchmark,BEL,2015,45,native,622164
benchmark,BEL,2015,45,non-eu,80061
benchmark,BEL,2015,50,eu,62645
benchmark,BEL,2015,50,native,629732
benchmark,BEL,2015,50,non-eu,67841
benchmark,BEL,2015,55,eu,57149
benchmark,BEL,2015,55,native,570258
benchmark,BEL,2015,55,non-eu,58346
benchmark,BEL,2015,60,eu,52245
benchmark,BEL,2015,60,native,507346
benchmark,BEL,2015,60,non-eu,41038
benchmark,BEL,2015,65,eu,50805
benchmark,BEL,2015,65,native,439471
benchmark,BEL,2015,65,non-eu,23805
benchmark,BEL,2015,70,eu,38120
benchmark,BEL,2015,70,native,328833
benchmark,BEL,2015,70,non-eu,17276
benchmark,BEL,2015,75,eu,27326
benchmark,BEL,2015,75,native,301915
benchmark,BEL,2015,75,non-eu,12171
benchmark,BEL,2015,80,eu,20959
benchmark,BEL,2015,80,native,237908
benchmark,BEL,2015,80,non-eu,6658
benchmark,BEL,2015,85,eu,13978
benchmark,BEL,2015,85,native,139306
benchmark,BEL,2015,85,non-eu,2437
benchmark,BEL,2015,90,eu,6253
benchmark,BEL,2015,90,native,57367
benchmark,BEL,2015,90,non-eu,717
benchmark,BEL,2015,95,eu,1503
benchmark,BEL,2015,95,native,8235
benchmark,BEL,2015,95,non-eu,138
benchmark,BEL,2015,100,eu,144
benchmark,BEL,2015,100,native,1413
benchmark,BEL,2015,100,non-eu,19
benchmark,BEL,2020,0,eu,4960
benchmark,BEL,2020,0,native,606592
benchmark,BEL,2020,0,non-eu,27277
benchmark,BEL,2020,5,eu,21276
benchmark,BEL,2020,5,native,616756
benchmark,BEL,2020,5,non-eu,35356
benchmark,BEL,2020,10,eu,35114
