scenario,dest,year,sex,nativity,pop
benchmark,DEU,2025,f,eu,1768202
benchmark,DEU,2025,f,native,35264085
benchmark,DEU,2025,f,non-eu,2516233
benchmark,DEU,2025,m,eu,1624636
benchmark,DEU,2025,m,native,34205743
benchmark,DEU,2025,m,non-eu,2372521
benchmark,DEU,2030,f,eu,1578527
benchmark,DEU,2030,f,native,34897054
benchmark,DEU,2030,f,non-eu,2755979
benchmark,DEU,2030,m,eu,1467104
benchmark,DEU,2030,m,native,33864147
benchmark,DEU,2030,m,non-eu,2561640
benchmark,DEU,2035,f,eu,1405533
benchmark,DEU,2035,f,native,34462598
benchmark,DEU,2035,f,non-eu,2985775
benchmark,DEU,2035,m,eu,1327750
benchmark,DEU,2035,m,native,33442010
benchmark,DEU,2035,m,non-eu,2752234
benchmark,DEU,2040,f,eu,1254068
benchmark,DEU,2040,f,native,33973736
benchmark,DEU,2040,f,non-eu,3209925
benchmark,DEU,2040,m,eu,1208649
benchmark,DEU,2040,m,native,32966271
benchmark,DEU,2040,m,non-eu,2949078
benchmark,DEU,2045,f,eu,1128143
benchmark,DEU,2045,f,native,33449113
benchmark,DEU,2045,f,non-eu,3447541
benchmark,DEU,2045,m,eu,1105539
benchmark,DEU,2045,m,native,32437874
benchmark,DEU,2045,m,non-eu,3169371
benchmark,DEU,2050,f,eu,1020728
benchmark,DEU,2050,f,native,32849875
benchmark,DEU,2050,f,non-eu,3704913
benchmark,DEU,2050,m,eu,1012268
benchmark,DEU,2050,m,native,31837320
benchmark,DEU,2050,m,non-eu,3419099
benchmark,DNK,2015,f,eu,93395
benchmark,DNK,2015,f,native,2445725
benchmark,DNK,2015,f,non-eu,177643
benchmark,DNK,2015,m,eu,99313
benchmark,DNK,2015,m,native,2432912
benchmark,DNK,2015,m,non-eu,161121
benchmark,DNK,2020,f,eu,94605
benchmark,DNK,2020,f,native,2474083
benchmark,DNK,2020,f,non-eu,217228
benchmark,DNK,2020,m,eu,102624
benchmark,DNK,2020,m,native,2457180
benchmark,DNK,2020,m,non-eu,195263
benchmark,DNK,2025,f,eu,94820
benchmark,DNK,2025,f,native,2495865
benchmark,DNK,2025,f,non-eu,259329
benchmark,DNK,2025,m,eu,104084
benchmark,DNK,2025,m,native,2477463
benchmark,DNK,2025,m,non-eu,231258
benchmark,DNK,2030,f,eu,93484
benchmark,DNK,2030,f,native,2519536
benchmark,DNK,2030,f,non-eu,308587
benchmark,DNK,2030,m,eu,103338
benchmark,DNK,2030,m,native,2500277
benchmark,DNK,2030,m,non-eu,274125
benchmark,DNK,2035,f,eu,91029
benchmark,DNK,2035,f,native,2542426
benchmark,DNK,2035,f,non-eu,364730
benchmark,DNK,2035,m,eu,101070
benchmark,DNK,2035,m,native,2523321
benchmark,DNK,2035,m,non-eu,323620
benchmark,DNK,2040,f,eu,87651
benchmark,DNK,2040,f,native,2564210
benchmark,DNK,2040,f,non-eu,428454
benchmark,DNK,2040,m,eu,97609
